pair_index,left_id,right_id,left_score_macd,right_score_macd,winner_macd,margin_macd,left_score_kleinberg,right_score_kleinberg,winner_kleinberg,margin_kleinberg,agreed_winner
37,802310,914375,28.002894408531613,9.81801112807937,left,18.184883,10835.422862052917,1458.4684953689575,left,9376.954367,left
38,878345,899132,13.030740109689509,10.33234812633546,left,2.698392,2487.6691732406616,298.64383029937744,left,2189.025343,left
39,1139219,1115403,3.729631126118864,4.404056048664157,right,0.674425,0.0,74.6152400970459,right,74.61524,right
40,1350719,1263534,3.1845121054401346,5.150565127613421,right,1.966053,0.0,0.0,tie,0.0,disagree
41,1239244,715675,3.421834747322603,12.02347764121103,right,8.601643,0.0,0.0,tie,0.0,disagree
42,897768,818910,5.240279781682926,10.57545241798223,right,5.335173,350.1130986213684,0.0,left,350.113099,disagree
43,1482490,1444109,25.58237896799779,3.6466137599289694,left,21.935765,0.0,0.0,tie,0.0,disagree
44,1482364,1419196,2.4738618813273154,3.7264091032763913,right,1.252547,0.0,0.0,tie,0.0,disagree
45,1422569,1370740,4.369527630965305,4.664248188793197,right,0.294721,0.0,0.0,tie,0.0,disagree
46,1274037,938686,10.130195369275281,6.769090631700447,left,3.361105,0.0,0.0,tie,0.0,disagree
47,1434145,1386500,4.210959106336484,14.09297786572018,right,9.882019,0.0,615.0315651893616,right,615.031565,right
48,1187529,1337284,3.069817487335652,4.064555794900097,right,0.994738,0.0,0.0,tie,0.0,disagree
49,1115403,1013498,4.404056048664157,9.118289818307467,right,4.714234,74.6152400970459,228.29162979125977,right,153.67639,right
50,1054355,1204741,8.166580627575359,3.8471073446356696,left,4.319473,0.0,0.0,tie,0.0,disagree
51,1384839,1366126,6.862196993431616,3.7664293105176125,left,3.095768,0.0,0.0,tie,0.0,disagree
52,1052599,1077809,4.958946673241098,4.31135772740588,left,0.647589,0.0,0.0,tie,0.0,disagree
53,1100413,1387330,3.2809915665742966,3.9339920087244766,right,0.653,0.0,0.0,tie,0.0,disagree
54,1337492,1355692,4.773085358891402,4.057930978981145,left,0.715154,0.0,0.0,tie,0.0,disagree
55,883338,1268993,6.531936516001293,3.3661762251857685,left,3.16576,0.0,0.0,tie,0.0,disagree
56,1233647,1476696,4.95080349119054,4.79699272756707,left,0.153811,0.0,0.0,tie,0.0,disagree
57,1450111,1523485,4.775542229833798,4.526990833731436,left,0.248551,0.0,0.0,tie,0.0,disagree
58,1195029,1472421,4.3482120751764946,4.893336009186452,right,0.545124,0.0,0.0,tie,0.0,disagree
59,1366724,1089183,3.0960366663785193,4.732838390446108,right,1.636802,0.0,0.0,tie,0.0,disagree
60,920002,1327723,6.092397781731203,3.4554663886450063,left,2.636931,0.0,0.0,tie,0.0,disagree
61,1231906,1363566,12.445732377364187,3.794788758422021,left,8.650944,744.5968832969666,0.0,left,744.596883,left
62,1272480,1346250,7.337133348591907,3.6603393261724304,left,3.676794,0.0,0.0,tie,0.0,disagree
63,1299164,1303523,13.703461730284845,2.623669041181829,left,11.079793,673.9855933189392,0.0,left,673.985593,left
64,799514,878463,4.281901562978416,5.052081479070658,right,0.77018,63.51177358627319,0.0,left,63.511774,disagree
65,1439871,807504,5.4289166285742745,7.87035902219762,right,2.441442,0.0,0.0,tie,0.0,disagree
66,1492819,1394822,4.82410100759445,9.603560482789526,right,4.779459,0.0,281.8393144607544,right,281.839314,right
67,951604,921892,3.4423496067213137,3.656773299127569,right,0.214424,0.0,0.0,tie,0.0,disagree
68,1263974,818910,7.631701783646627,10.57545241798223,right,2.943751,0.0,0.0,tie,0.0,disagree
69,653361,927541,13.157609781495827,4.960115917521469,left,8.197494,1738.791968345642,0.0,left,1738.791968,left
70,529490,542690,27.998877570610915,27.59645954848915,left,0.402418,0.0,2541.4711441993713,right,2541.471144,disagree
71,619492,1145222,19.421031464318165,4.784161706652535,left,14.63687,0.0,0.0,tie,0.0,disagree
72,950282,940671,3.9728069237169166,4.864225831739231,right,0.891419,0.0,0.0,tie,0.0,disagree
73,707629,899264,11.190805734652765,18.492620201298216,right,7.301814,1362.74507188797,3224.9955973625183,right,1862.250525,right
74,1436444,542690,3.210148957874788,27.59645954848915,right,24.386311,0.0,2541.4711441993713,right,2541.471144,right
75,899132,802963,10.33234812633546,31.356363492977593,right,21.024015,298.64383029937744,1011.2493104934692,right,712.60548,right
76,948070,912248,7.17553571316568,8.293314671913093,right,1.117779,0.0,0.0,tie,0.0,disagree
77,878345,899132,13.030740109689509,10.33234812633546,left,2.698392,2487.6691732406616,298.64383029937744,left,2189.025343,left
78,822072,802963,29.480439808131752,31.356363492977593,right,1.875924,9643.860035419464,1011.2493104934692,left,8632.610725,disagree
79,1139219,1068051,3.729631126118864,4.8392945599445785,right,1.109663,0.0,0.0,tie,0.0,disagree
80,1013950,1302860,5.557393950067472,3.614466400671277,left,1.942928,0.0,0.0,tie,0.0,disagree
81,901326,1058291,12.66299697727029,4.716096993817995,left,7.9469,3556.3445949554443,0.0,left,3556.344595,left
82,1262895,1490965,3.656989104444564,10.08991161983374,right,6.432923,0.0,3022.037531852722,right,3022.037532,right
83,1231099,1139219,3.3334768186082484,3.729631126118864,right,0.396154,0.0,0.0,tie,0.0,disagree
84,923318,881634,4.245506116416504,15.010618639446507,right,10.765113,0.0,0.0,tie,0.0,disagree
85,933152,907363,7.465894893261216,6.394705904525118,left,1.071189,0.0,0.0,tie,0.0,disagree
86,1115403,1245860,4.404056048664157,10.193496483257222,right,5.78944,74.6152400970459,0.0,left,74.61524,disagree
87,633361,814814,26.463837332529536,21.212316951349482,left,5.25152,0.0,2483.520140171051,right,2483.52014,disagree
88,1144369,1203200,5.165645779396837,3.037757687130105,left,2.127888,0.0,0.0,tie,0.0,disagree
89,1309598,1278885,3.778332955129649,9.501310858607283,right,5.722978,0.0,0.0,tie,0.0,disagree
90,1416768,1457780,3.605850179957338,5.061965906198621,right,1.456116,0.0,0.0,tie,0.0,disagree
91,1483983,1163257,8.66331715429779,4.708098940129819,left,3.955218,283.1438822746277,0.0,left,283.143882,left
92,850815,956604,23.687109322474985,3.0892919432213812,left,20.597817,298.6975517272949,0.0,left,298.697552,left
93,1107726,1092611,4.147585296213601,3.418465350381813,left,0.72912,0.0,0.0,tie,0.0,disagree
94,859159,1197116,6.41841823889196,4.457134328584392,left,1.961284,0.0,0.0,tie,0.0,disagree
95,1144884,1274659,5.409871640506842,4.26974258562246,left,1.140129,187.9386968612671,0.0,left,187.938697,left
96,1019561,1053676,9.5139974833779,3.4794155597701946,left,6.034582,279.5796961784363,0.0,left,279.579696,left
97,870533,1045902,9.8657464317844,3.4626604894780177,left,6.403086,0.0,0.0,tie,0.0,disagree
98,1198345,1342281,4.580303545840808,5.59331161585446,right,1.013008,0.0,0.0,tie,0.0,disagree
99,1102498,1263320,7.219014265919139,5.295396438507636,left,1.923618,0.0,0.0,tie,0.0,disagree
